a cappella, Redewendung, nhd.; L.: WDG1
Abgabesenkung, F., nhd.; L.: WDG1
Abgabesoll, N., nhd.; L.: WDG1
Abgabestelle, F., nhd.; L.: WDG1
Abgabetermin, M., nhd.; L.: WDG1
Abgabeverwaltung, F., nhd.; L.: WDG1
Abgang, M., nhd.; L.: WDG1
Abgänger, M., nhd.; L.: WDG1
abgängig, Adj., nhd.; L.: WDG1
Abgangsdatum, N., nhd.; L.: WDG1
Abgangsklasse, F., nhd.; L.: WDG1
Abgangsmeldung, F., nhd.; L.: WDG1
Abgangsschüler, M., nhd.; L.: WDG1
Abgangsstation, F., nhd.; L.: WDG1
Abgangszeit, F., nhd.; L.: WDG1
Abgangszeugnis, N., nhd.; L.: WDG1
Abgas, N., nhd.; L.: WDG1
abgaunern, V., nhd.; L.: WDG1
abgeben, V., nhd.; L.: WDG1
abgebrannt, Part. Prät.=Adj., nhd.; L.: WDG1
abgebrochen, Part. Prät.=Adj., nhd.; L.: WDG1
abgebrüht, Part. Prät.=Adj., nhd.; L.: WDG1
Abgebrühtheit, F., nhd.; L.: WDG1
abgedroschen, Part. Prät.=Adj., nhd.; L.: WDG1
abgefeimt, Part. Prät.=Adj., nhd.; L.: WDG1
abgefetzt, Part. Prät.=Adj., nhd.; L.: WDG1
abgegriffen, Part. Prät.=Adj., nhd.; L.: WDG1
abgehackt, Part. Prät.=Adj., nhd.; L.: WDG1
abgehaust, Part. Prät.=Adj., nhd.; L.: WDG1
abgehen, V., nhd.; L.: WDG1
abgekämpft, Part. Prät.=Adj., nhd.; L.: WDG1
abgekitzelt, Part. Prät.=Adj., nhd.; L.: WDG1
abgeklappert, Part. Prät.=Adj., nhd.; L.: WDG1
abgeklärt, Part. Prät.=Adj., nhd.; L.: WDG1
Abgeklärtheit, F., nhd.; L.: WDG1
abgelebt, Part. Prät.=Adj., nhd.; L.: WDG1
abgeledert, Part. Prät.=Adj., nhd.; L.: WDG1
abgelegen, Part. Prät.=Adj., nhd.; L.: WDG1
Abgelegenheit, F., nhd.; L.: WDG1
abgeleiert, Part. Prät.=Adj., nhd.; L.: WDG1
abgelten, V., nhd.; L.: WDG1
Abgeltung, F., nhd.; L.: WDG1
abgelumpt, Part. Prät.=Adj., nhd.; L.: WDG1
abgemacht, Part. Prät., nhd.; L.: WDG1
abgemergelt, Part. Prät.=Adj., nhd.; L.: WDG1
abgemessen, Part. Prät.=Adj., nhd.; L.: WDG1
Abgemessenheit, F., nhd.; L.: WDG1
abgeneigt, Part. Prät.=Adj., nhd.; L.: WDG1
Abgeordnete, M./F., nhd.; L.: WDG1
Abgeordnetenbank, F., nhd.; L.: WDG1
Abgeordnetenhaus, N., nhd.; L.: WDG1
Abgeordnetenkammer, F., nhd.; L.: WDG1
Abgeordnetenmandat, N., nhd.; L.: WDG1
Abgeordnetensitz, M., nhd.; L.: WDG1
Abgeordnetenwahl, F., nhd.; L.: WDG1
Abgeordnetenzahl, F., nhd.; L.: WDG1
abgerissen, Part. Prät.=Adj., nhd.; L.: WDG1
abgesagt, Part. Prät.=Adj., nhd.; L.: WDG1
Abgesandte, M./F., (-n), nhd.; L.: WDG1
Abgesang, M., nhd.; L.: WDG1
abgeschabt, Part. Prät.=Adj., nhd.; L.: WDG1
abgeschieden, Part. Prät.=Adj., nhd.; L.: WDG1
Abgeschiedenheit, F., nhd.; L.: WDG1
abgeschlagen, Part. Prät.=Adj., nhd.; L.: WDG1
Abgeschlagenheit, F., nhd.; L.: WDG1
abgeschlossen, Part. Prät.=Adj., nhd.; L.: WDG1
Abgeschlossenheit, F., nhd.; L.: WDG1
abgeschmackt, Part. Prät.=Adj., nhd.; L.: WDG1
Abgeschmacktheit, F., nhd.; L.: WDG1
abgesehen, Part. Prät., nhd.; L.: WDG1
